"image"	"id"	"text"
"ann-sofi_rosenkvist-primary_school_classroom-4838-7"	4838	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4839-7"	4839	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4840-7"	4840	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4841-7"	4841	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4842-7"	4842	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4843-7"	4843	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4844-7"	4844	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4845-7"	4845	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4846-7"	4846	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4847-7"	4847	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-primary_school_classroom-4848-7"	4848	"First-year students participate in class activities. From the age of six, every child in Sweden enjoys equal access to free education – regardless of gender, where they live or social or economic factors. The school system ensures a safe and friendly environment for students. Swedish law mandates nine years of school attendance for all children from the year they turn seven."
"ann-sofi_rosenkvist-schoolyard_fun-4836-7"	4836	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4849-7"	4849	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4850-7"	4850	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4851-7"	4851	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4852-7"	4852	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4853-7"	4853	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4854-7"	4854	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4855-7"	4855	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"ann-sofi_rosenkvist-schoolyard_fun-4856-7"	4856	"In Sweden, school is compulsory for nine years starting at age seven. Even with school in session, kids have plenty of leisure time to do what they want, both in the schoolyard and off. Children also like to play. Teachers in Sweden have tested the effects of play in education and the results are overwhelmingly positive. Educators now encourage play as a part of teaching."
"astrakan-music_and_arts_schools-7477-7"	7477	"In the 290 municipalities in Sweden there are currently 283 music and arts schools. The idea is to provide all children and youth equal opportunities for personal development through easily accessible arts-based activities, regardless of socio-economic background. The Swedish model for municipal music schools was founded during the 1940s but it was not until the 1960s that it spread rapidly in response to a sudden rise in the number of local music schools around the country."
"astrakan-school-6447-7"	6447	"Kids in Sweden start school when they turn six. Attendance is compulsory for ten years, and free all the way through university. Both government run schools and privately run schools are tuition-free, and follow the same basic curriculum."
"cecilia_larsson_lantz-aula_magna-2618-7"	2618	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-higher_education-3658-7"	3658	"Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-higher_education-3659-7"	3659	"Students Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-higher_education-3660-7"	3660	"Students Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-higher_education-3661-7"	3661	"Students Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-higher_education-3662-7"	3662	"Students Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-higher_education-3663-7"	3663	"Students Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-higher_education-3667-7"	3667	"Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and the education system is student-centric. Many Master&#039;s programmes are taught in English, and scholarships are available for international students. More than 20,000 foreign students are studying in Sweden, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. Relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-reading_stieg_larsson-2616-7"	2616	"Stieg Larsson was a relatively unknown writer when the Millennium trilogy was published. The books became an enormous success with readers all over the world. Lisbeth Salander is the female star of the books. This computer-hacking outsider character is allegedly based on how Larsson imagined Pippi Longstocking as a grown-up. Sadly, Larsson himself passed away before the three Millennium books were published."
"cecilia_larsson_lantz-stockholm_university_library-2614-7"	2614	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-stockholm_university-2611-7"	2611	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-student-2627-7"	2627	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2610-7"	2610	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2612-7"	2612	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2613-7"	2613	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2615-7"	2615	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2617-7"	2617	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2619-7"	2619	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2620-7"	2620	"A modern university with a multicultural environment, Stockholm University is one of the world’s top 100 higher education institutes. Some 34,000 students and 5,000 staff are active within science, the humanities and the social sciences. Researchers from Stockholm University contribute to the development of public policy and political decision making, and participate in Nobel Prize Committees and international expert bodies. Stockholm is a cultural hub and economic centre, with many green areas and surrounded by water, making it an ideal place in which to enjoy a relaxed and exciting student life."
"cecilia_larsson_lantz-students-2621-7"	2621	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with the industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2622-7"	2622	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with the industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2623-7"	2623	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with the industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2626-7"	2626	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2628-7"	2628	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2630-7"	2630	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2631-7"	2631	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2632-7"	2632	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2633-7"	2633	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2634-7"	2634	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"cecilia_larsson_lantz-students-2635-7"	2635	"More than 23,00 new foreign students began studies in Sweden in 2016, making for a vibrant, international study environment. A good part of their social life revolves around their student union. The union can often help you with finding accommodation and other practical matters. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work. Many Master Programmes are taught in English."
"cecilia_larsson_lantz-uppsala_university_library-2625-7"	2625	"Uppsala University is a comprehensive international research university dedicated to advancing science, scholarship, and higher education. For more than 500 years, Uppsala University has been a distinguished seat of learning with rich opportunities for students and researchers at all levels. Sweden is one of the world’s most innovative and research-intensive nations. Several universities place high in European rankings, and their research has contributed to the global success of Sweden’s many high-tech companies. The education system is student-centric and relations between students and teachers are highly informal. Personal initiative and independent thinking are prized. Students are required to take an active role and contribute with opinions and ideas at lectures, seminars and in group discussions. Taking the initiative and questioning old presumptions is rewarding, especially in the long term. Many programmes also cooperate closely with industry, offering students the possibility to mix study and practical work."
"elisabeth_edén-friends-4785-7"	4785	"Swedes value their free time, and aim to find a healthy balance between work and leisure. On some days, it feels good to do nothing in particular, just relax and be social. Why not spend some time in the park with your friends? In a country of nature lovers and city dwellers, public parks quickly become a popular meeting place, especially during the summer months. While some parks are open grassy spaces, others include activities such as outdoor gyms, skate parks and swimming pools."
"elisabeth_edén-friends-4793-7"	4793	"Swedish teenagers like to spend time together in each others&#039; homes."
"elisabeth_edén-information_technology-4791-7"	4791	"Swedes are some of the most connected people in the world. At home, in schools, at work, people of all ages are online. Many schools have also started to provide laptops or tablets to students."
"elisabeth_edén-information_technology-4792-7"	4792	"Swedes are some of the most connected people in the world. At home, in schools, at work, people of all ages are online. Many schools have also started to provide laptops or tablets to students."
"elisabeth_edén-laboratory_work-5251-7"	5251	"A researcher is doing lab work. Sweden is one of the world’s most innovative and research-intensive nations."
"elisabeth_edén-young_pottery_maker-4787-7"	4787	"A young craftsman at the potter&#039;s wheel. Children in Sweden are encouraged to think independently and to develop their interests. Besides sport, music and languages, it is never too early to develop your artistic skills. In Sweden, children and teenagers count as individuals, and they are being listened to. This is clear when you look at statistics, the number of children’s organisations, government programs and laws, or directly at the young people who live, play and learn in Sweden."
